['CAN/Parsley', 1711653970.6700423, {'board_id': 'ANY', 'msg_type': 'SENSOR_ANALOG', 'data': {'time': 0.500032, 'sensor_id': 'RAW_ISENSE_24V', 'value': 0.232}}]
['CAN/Parsley', 1711653970.6700423, {'board_id': 'ANY', 'msg_type': 'SENSOR_TEMP', 'data': {'time': 0.5007573333333334, 'sensor_id': 'T501', 'temperature': 24.75}}]
['CAN/Parsley', 1711653970.6700423, {'board_id': 'ANY', 'msg_type': 'SENSOR_TEMP', 'data': {'time': 0.5009706666666667, 'sensor_id': 'T506', 'temperature': 0.0}}]
['CAN/Parsley', 1711653970.6700423, {'board_id': 'ANY', 'msg_type': 'SENSOR_TEMP', 'data': {'time': 0.5011626666666666, 'sensor_id': 'T507', 'temperature': 2047.75}}]
['CAN/Parsley', 1711653970.6700423, {'board_id': 'ANY', 'msg_type': 'SENSOR_TEMP', 'data': {'time': 0.501568, 'sensor_id': 'T509', 'temperature': 2047.75}}]
['CAN/Parsley', 1711653970.6700423, {'board_id': 'ANY', 'msg_type': 'SENSOR_RPM', 'data': {'time': 0.5041493333333333, 'sensor_id': 'RPM502_S', 'rpm_counts': 0}}]
['CAN/Parsley', 1711653970.6712387, {'board_id': 'ANY', 'msg_type': 'SENSOR_RPM', 'data': {'time': 0.5044053333333334, 'sensor_id': 'RPM501_S', 'rpm_counts': 0}}]
['CAN/Parsley', 1711653971.1547525, {'board_id': 'ANY', 'msg_type': 'SENSOR_TEMP', 'data': {'time': 0.6253653333333333, 'sensor_id': 'T502', 'temperature': 2047.75}}]
['Parsley/Health', 1711653971.450667, {'id': 'YoshiTheCat/usb/com19', 'healthy': 'Healthy'}]
['CAN/Parsley', 1711653971.6610188, {'board_id': 'ANY', 'msg_type': 'SENSOR_TEMP', 'data': {'time': 0.7501866666666667, 'sensor_id': 'T501', 'temperature': 24.75}}]
['CAN/Parsley', 1711653971.6618752, {'board_id': 'ANY', 'msg_type': 'SENSOR_TEMP', 'data': {'time': 0.750592, 'sensor_id': 'T504', 'temperature': 2047.75}}]
['CAN/Parsley', 1711653971.7365582, {'board_id': 'ANY', 'msg_type': 'SENSOR_RPM', 'data': {'time': 0.7694506666666667, 'sensor_id': 'RPM501_S', 'rpm_counts': 0}}]
['CAN/Parsley', 1711653971.7375562, {'board_id': 'ANY', 'msg_type': 'SENSOR_RPM', 'data': {'time': 0.769472, 'sensor_id': 'RPM502_S', 'rpm_counts': 0}}]
['Parsley/Health', 1711653972.4593668, {'id': 'YoshiTheCat/usb/com19', 'healthy': 'Healthy'}]
['CAN/Parsley', 1711653972.6581264, {'board_id': 'ANY', 'msg_type': 'SENSOR_ANALOG', 'data': {'time': 1.0000213333333334, 'sensor_id': 'ISENSE_24V', 'value': 0.001}}]
['CAN/Parsley', 1711653972.65913, {'board_id': 'ANY', 'msg_type': 'SENSOR_ANALOG', 'data': {'time': 1.0000213333333334, 'sensor_id': 'VSENSE_24V', 'value': 3.5700000000000003}}]
['CAN/Parsley', 1711653972.66013, {'board_id': 'ANY', 'msg_type': 'SENSOR_ANALOG', 'data': {'time': 1.0000213333333334, 'sensor_id': 'ISENSE_12VD', 'value': 0.0}}]
['CAN/Parsley', 1711653972.66013, {'board_id': 'ANY', 'msg_type': 'SENSOR_ANALOG', 'data': {'time': 1.0000213333333334, 'sensor_id': 'VSENSE_12VD', 'value': 3.8000000000000003}}]
['CAN/Parsley', 1711653972.6611319, {'board_id': 'ANY', 'msg_type': 'SENSOR_ANALOG', 'data': {'time': 1.0000213333333334, 'sensor_id': 'ISENSE_12VA', 'value': 0.002}}]
['CAN/Parsley', 1711653972.6611319, {'board_id': 'ANY', 'msg_type': 'SENSOR_ANALOG', 'data': {'time': 1.0000213333333334, 'sensor_id': 'ISENSE_5VD', 'value': 0.607}}]
['CAN/Parsley', 1711653972.6611319, {'board_id': 'ANY', 'msg_type': 'SENSOR_ANALOG', 'data': {'time': 1.0000213333333334, 'sensor_id': 'VSENSE_5VD', 'value': 3.863}}]
['CAN/Parsley', 1711653972.6611319, {'board_id': 'ANY', 'msg_type': 'SENSOR_ANALOG', 'data': {'time': 1.0000213333333334, 'sensor_id': 'ISENSE_5VA', 'value': 0.025}}]
