Timestamp,(PT-1) - CO2 Fill Block,(PT-2) - Ox Tank,(PT-3) - Injector Upstream,(PT-4) - Injector Downstream,+10V,+12V,+5V,Honeywell S-type,Power in
0.000000,-6.424419,12.699718,-3.341910,19.934178,20.154861,12.079394,4.982521,14.319900,24.728900
0.015488,13.297347,2.256933,-29.763414,15.845135,20.135379,12.082798,4.979561,14.477891,24.721896
0.031538,9.522846,0.652770,-2.115197,21.412524,20.137845,12.080233,4.975764,14.593294,24.712180
0.063507,-11.677265,-13.595970,-8.814935,22.104516,20.129312,12.080184,4.979512,15.484913,24.736890
0.079270,0.684224,-4.285535,11.630276,38.209051,20.138338,12.079592,4.974728,14.587798,24.719233
0.094873,-19.698079,5.496712,7.415417,22.670692,20.153825,12.082058,4.982422,14.929883,24.729689
0.110219,-10.702186,7.541234,-12.557982,21.066528,20.153184,12.081860,4.979611,14.877678,24.726286
0.141924,-2.398285,11.913363,-4.537168,9.900298,20.134146,12.081367,4.979315,14.754032,24.732747
0.157925,3.703824,-0.982847,-17.087383,20.720532,20.122407,12.083094,4.979561,14.689462,24.727075
0.173923,-13.438698,-21.774054,-13.721786,20.500353,20.124429,12.084277,4.981781,14.811733,24.725152
0.189252,-5.040435,15.090235,10.718105,27.074275,20.148252,12.084524,4.979808,14.622144,24.748333
0.220151,3.169104,-10.419098,2.099662,28.930071,20.135477,12.080529,4.977194,14.576808,24.719529
0.236287,-28.190705,-0.951393,0.558408,12.951351,20.149090,12.079246,4.979956,14.645499,24.731021
0.252220,-17.653558,-22.371683,-23.189492,29.307521,20.134392,12.078803,4.982027,14.631761,24.746360
0.284028,5.056354,-3.027368,-3.153185,13.737706,20.131680,12.079789,4.975123,14.804864,24.734967
0.299726,2.886016,-0.322309,-4.033902,-2.209559,20.136858,12.083735,4.972706,14.587798,24.716175
0.315746,-5.826789,-7.179318,-8.563302,21.318161,20.162259,12.078013,4.979364,14.655116,24.741724
0.331832,-7.934219,19.556727,11.756093,17.071848,20.143813,12.079740,4.972952,13.431028,24.724856
0.363640,-24.856563,-3.562089,-4.096810,26.571008,20.124923,12.081713,4.976060,14.685341,24.730922
0.379230,15.530593,3.483646,-3.593543,20.311629,20.141593,12.080923,4.977539,14.286928,24.729196
0.395059,-12.557982,-2.303922,-15.074316,15.876589,20.154466,12.082304,4.980400,14.438050,24.713363
0.410660,-7.430952,1.187491,10.372109,14.366789,20.144158,12.080726,4.981830,14.365237,24.715336
0.442327,-10.261828,-12.872524,9.648663,27.420271,20.140508,12.081614,4.980794,14.732051,24.721847
0.458259,-0.511034,0.118049,-14.885590,12.479540,20.125268,12.083241,4.977391,14.814481,24.720614
0.473941,-4.631531,-10.198919,-11.268360,12.039180,20.149534,12.081614,4.980449,15.067267,24.726878
0.489094,-5.292068,-3.216093,-16.489753,31.383497,20.153480,12.080578,4.975418,14.454536,24.723573
0.520145,3.294920,-9.349657,5.433804,36.667797,20.146180,12.079690,4.978772,14.234722,24.734375
0.535999,-9.569836,4.144183,-18.125370,32.106943,20.151063,12.080529,4.979512,14.403704,24.724905
0.552069,-1.800655,1.124583,-9.790015,16.379856,20.111408,12.081318,4.976060,14.554826,24.721600
0.583746,8.075954,-9.695652,-15.766307,21.318161,20.127438,12.083685,4.980449,14.223732,24.729147
0.599673,-7.493860,4.458725,-13.564516,-9.947285,20.157722,12.081121,4.978180,14.704574,24.714646
0.615680,-20.924791,8.484859,-14.885590,18.833282,20.161174,12.080529,4.975320,14.765023,24.741132
0.631050,-0.825576,9.491392,-25.391284,9.365576,20.146525,12.080430,4.978526,14.523228,24.731810
0.662643,-18.628637,2.194024,-10.198919,8.893764,20.127290,12.079049,4.984197,14.847453,24.729147
0.677505,-21.868416,1.407670,-7.871311,18.864736,20.146378,12.079986,4.978032,14.491630,24.723179
0.693630,-14.948499,-12.872524,12.070634,35.063634,20.156341,12.081121,4.981978,14.377601,24.731465
