Timestamp,(PT-1) - CO2 Fill Block,(PT-2) - Ox Tank,(PT-3) - Injector Upstream,(PT-4) - Injector Downstream,+10V,+12V,+5V,Honeywell S-type,Power in
0.000000,1.156037,-4.914618,4.899083,-6.550235,20.124281,12.083094,4.979167,12.948812,24.725645
0.015486,-5.008981,5.811254,5.968525,24.149036,20.133159,12.083389,4.974679,12.988653,24.739850
0.031357,-12.023261,-25.359829,-13.187066,24.620849,20.140163,12.084080,4.976306,13.354093,24.723129
0.062139,-1.706293,15.467685,-5.669519,21.947244,20.167685,12.082847,4.975517,13.264794,24.716224
0.077844,-23.063675,-1.674839,-0.573943,33.994193,20.134392,12.083784,4.976750,13.040859,24.715287
0.093127,-3.970993,-11.142544,-0.699760,35.755626,20.116390,12.082600,4.981682,12.939195,24.707691
0.124477,3.389283,-16.080849,-13.721787,17.386390,20.117031,12.085461,4.979364,12.921335,24.728900
0.140416,4.490179,0.149503,-12.463619,27.357362,20.145687,12.081022,4.983803,13.117793,24.716372
0.156282,9.271213,-13.533061,-8.846390,8.296134,20.161618,12.079444,4.976010,13.216710,24.729245
0.171440,19.934177,8.925217,-7.430952,8.359042,20.141100,12.084474,4.976454,13.120541,24.727914
0.202763,-15.294495,13.360255,-5.040435,0.118050,20.126747,12.083389,4.974531,13.123289,24.733290
0.218062,-10.985273,-20.044074,-12.495074,12.385176,20.125514,12.083833,4.980104,13.116420,24.731711
0.233459,-5.008981,-5.292068,-4.033902,18.644557,20.128079,12.081663,4.984493,13.359589,24.718000
0.264506,-2.555556,13.265893,-14.445232,8.390497,20.145440,12.081121,4.985036,13.164504,24.732007
0.280240,-4.662985,-15.483220,-9.727107,24.998299,20.145046,12.086250,4.979117,13.082074,24.721896
0.295682,10.246292,24.023219,-1.580476,-19.289175,20.128276,12.082699,4.974087,13.088943,24.716569
0.311709,-4.096810,-3.247547,-6.581689,22.356149,20.131433,12.083685,4.980055,12.749605,24.737975
0.343115,-4.191173,-15.577582,-18.188279,3.735279,20.148153,12.080726,4.979709,13.448888,24.721452
0.359092,-10.953819,0.432591,-6.487327,14.398244,20.141051,12.084228,4.980498,12.546278,24.723869
0.374802,-3.750814,4.836175,-13.312882,23.236866,20.145243,12.083291,4.981288,13.164504,24.732106
0.390720,25.816107,1.030220,-1.769201,1.879483,20.138535,12.082255,4.971966,13.194728,24.712722
0.421609,-12.274894,18.581648,-8.752027,4.773267,20.137697,12.082551,4.973446,13.488729,24.734671
0.437481,-7.022048,-19.949712,-2.083743,22.010153,20.144799,12.080184,4.979019,13.314252,24.710897
0.453523,-2.964460,-13.595970,-8.343123,18.078382,20.163788,12.081515,4.981041,13.362336,24.725546
0.485149,21.286707,7.761413,4.647450,3.043287,20.144010,12.083735,4.975320,12.968045,24.720466
0.500385,-1.171572,-8.657665,2.162570,22.073061,20.136069,12.081417,4.977441,13.604131,24.727568
0.515751,-16.930112,-6.770415,-19.729533,5.842708,20.115601,12.086398,4.976947,13.036737,24.700983
0.531303,-6.235693,3.672371,-12.715253,2.697292,20.143911,12.084622,4.982915,13.407673,24.713117
0.561708,-7.053502,-1.643384,-20.515887,44.436978,20.138437,12.082699,4.980005,13.569786,24.716076
0.576973,-2.303922,-1.328843,-2.241014,32.610208,20.152987,12.081614,4.975468,13.090317,24.723918
0.592486,9.900296,-5.323522,-0.133584,0.495499,20.137401,12.081466,4.977194,13.432402,24.712525
0.623982,5.056354,8.044500,4.238545,13.894977,20.133011,12.081318,4.976109,13.233196,24.723721
0.639604,-0.039222,8.044500,-1.486113,5.496713,20.142333,12.082156,4.972509,13.141149,24.728653
0.655624,-17.307562,-18.062462,-5.732427,35.472539,20.175921,12.079394,4.983063,13.444766,24.725941
0.671761,-0.636851,5.653983,-7.242227,23.677224,20.136908,12.081811,4.980942,13.248308,24.727322
0.702271,10.655196,10.309200,-10.136011,-7.745493,20.129411,12.082946,4.976602,13.470869,24.712130
0.718220,8.264679,-2.712826,-2.587010,1.470579,20.111162,12.085412,4.981041,12.660306,24.725398
0.734225,-6.770414,-15.042861,0.715678,-3.845176,20.142136,12.079740,4.982225,13.786852,24.719923
0.766111,-5.638065,-19.572262,-24.164571,29.936604,20.150225,12.081417,4.981682,13.648094,24.730133
0.782184,-13.061249,-0.573943,-2.020834,12.133543,20.139177,12.085214,4.977638,13.476365,24.743648
0.798650,-6.801869,-23.283854,-21.019154,-12.149077,20.132173,12.085066,4.977145,13.065588,24.727568
0.814012,-13.690332,9.868842,5.276533,18.172744,20.124035,12.083587,4.981140,13.249682,24.724609
0.830300,-21.239333,-21.270787,-16.332483,13.706251,20.150323,12.080430,4.986663,13.377449,24.731120
0.861401,-7.745494,3.986912,-0.636851,12.605356,20.155847,12.080184,4.980597,13.119167,24.739110
0.877248,5.559621,-1.454659,-13.879057,20.814895,20.149435,12.079493,4.981633,13.190607,24.739948
0.893199,-7.336590,17.638023,0.778587,24.715212,20.134244,12.084080,4.976701,13.167252,24.725941
0.923936,-5.795335,7.604142,4.490179,29.276066,20.131680,12.081121,4.972410,12.855391,24.726138
0.939044,0.306774,1.942391,-0.353764,26.979912,20.137549,12.084376,4.980942,13.148018,24.712377
0.954558,-11.331269,6.345975,-12.211986,18.613102,20.138190,12.083833,4.971966,13.362336,24.717408
0.970573,4.899083,-11.771628,-8.311669,3.294921,20.148449,12.083192,4.979463,13.786852,24.726385
1.002072,-1.045755,4.270000,-6.770414,0.118049,20.136316,12.079592,4.975024,13.108177,24.715238
1.017859,-5.984060,-8.563302,-17.842283,35.378176,20.114269,12.085905,4.978624,13.293645,24.705373
1.033057,-15.986487,-4.883164,-12.243440,30.188238,20.142234,12.080578,4.982521,13.363710,24.741280
1.064696,6.597608,-3.530635,-2.933006,2.445658,20.147906,12.083883,4.977835,13.513458,24.720959
1.080144,5.622529,-19.037541,-24.573475,-1.643384,20.141840,12.082156,4.981633,12.649315,24.723080
1.095750,7.918683,13.360255,-11.362723,8.799401,20.128770,12.082206,4.975172,13.683814,24.710749
1.110985,-3.310456,0.778587,-7.399498,26.445191,20.114466,12.084327,4.973051,13.465374,24.727272
1.142677,-14.633957,-0.731214,6.912150,34.749093,20.136316,12.083241,4.978082,13.053223,24.735115
1.158521,-8.909298,-2.115197,-18.188279,19.871269,20.153085,12.083833,4.979019,13.244186,24.737630
1.174602,15.656410,-7.965673,-20.578795,19.902723,20.139571,12.082896,4.974925,13.437897,24.712772
1.205599,-12.966886,5.307987,-6.424419,6.157251,20.137894,12.084179,4.977539,13.196102,24.724757
1.221414,-16.426845,-8.374577,-1.297388,17.134757,20.128375,12.082255,4.984049,13.275785,24.729936
1.237040,-6.518781,13.014259,10.969738,12.259360,20.148992,12.081367,4.979265,13.334860,24.741527
1.252220,-4.883164,-16.615570,-12.841070,10.875376,20.150521,12.081614,4.983556,13.976441,24.718197
1.283680,-2.115197,3.609462,-7.965673,-2.052288,20.144454,12.082107,4.981337,13.674197,24.719430
1.300078,-3.247547,8.390496,-2.272468,-1.203025,20.144553,12.082650,4.973396,13.621991,24.713265
1.316075,-6.581690,-6.896231,-8.783481,22.481965,20.126599,12.082058,4.984641,13.179616,24.733438
1.331426,-16.143758,-4.474260,-2.178105,11.441552,20.153973,12.081811,4.974975,13.241439,24.735312
1.363090,-16.930112,-2.020835,-2.807189,49.815641,20.161026,12.080184,4.979709,13.128784,24.738715
1.378500,-21.113517,-11.362723,-3.499180,17.795294,20.153381,12.080529,4.980844,13.336233,24.731711
1.394281,11.598821,7.855776,-9.947285,-21.019154,20.126945,12.083488,4.978772,13.135653,24.735115
1.410021,4.899083,19.368002,-7.084956,-11.425631,20.118856,12.081713,4.978180,12.635577,24.733586
