Timestamp,(PT-1) - CO2 Fill Block,(PT-2) - Ox Tank,(PT-3) - Injector Upstream,(PT-4) - Injector Downstream,+10V,+12V,+5V,Honeywell S-type,Power in
1.222930,523.547014,914.994396,3.074741,13.674798,20.125564,12.082058,4.973939,21.439120,24.713068
1.238880,506.467393,921.411052,-2.146651,27.451725,20.107216,12.081318,4.982274,21.370428,24.727519
1.254909,512.129146,923.487029,-4.725893,14.681331,20.154713,12.078605,4.979759,21.079175,24.735312
1.270072,512.317871,921.882865,-2.398285,37.139610,20.136365,12.084573,4.974136,21.314101,24.708333
1.302417,511.248428,926.632448,-9.286748,24.337763,20.130644,12.082452,4.979019,20.853865,24.708382
1.318215,508.260281,907.476844,-0.573943,32.201305,20.123492,12.079592,4.984395,20.853865,24.720071
1.333419,506.247213,920.498881,5.591075,19.273640,20.118609,12.081910,4.979956,21.494073,24.723820
1.348652,523.798648,916.095293,0.621316,22.544874,20.123640,12.080627,4.975468,21.283876,24.731613
1.379358,502.000899,917.510732,-26.209092,10.403564,20.150175,12.082502,4.980104,21.171222,24.714251
1.395083,489.104684,907.288119,-6.833323,31.760946,20.133110,12.080775,4.986220,21.492699,24.732550
1.410733,508.165919,928.614062,-8.280215,-13.847603,20.119251,12.082107,4.975566,20.811276,24.719874
1.441069,495.458429,910.433538,-5.575156,16.820215,20.125909,12.081269,4.978526,21.238540,24.731169
1.456968,520.495958,915.466209,-12.652344,-12.998340,20.115108,12.081417,4.978575,21.351194,24.728703
1.472982,510.524983,907.225210,-4.977527,28.112262,20.153135,12.082798,4.974679,20.889585,24.737038
1.488774,492.690461,903.387799,3.483646,21.318161,20.145144,12.079493,4.983063,21.385540,24.731662
1.519021,504.265600,926.789719,-14.979953,8.075955,20.108252,12.086299,4.975221,21.259147,24.734819
1.534746,514.645481,919.209259,-9.506927,29.307521,20.122013,12.081269,4.974087,20.458201,24.721107
1.550308,496.244783,908.986645,9.774480,8.264680,20.133011,12.080726,4.984937,21.098408,24.717852
1.581471,518.703070,930.155318,-20.421525,20.689078,20.133110,12.082502,4.972361,21.042081,24.709763
1.597656,506.373030,914.805671,-10.513461,15.499140,20.135872,12.083636,4.975665,20.884090,24.740294
1.613625,524.333369,916.567106,-9.695653,-2.649917,20.126945,12.079888,4.974925,21.345699,24.718542
1.629104,514.676934,922.983762,-10.513461,18.455832,20.112691,12.079937,4.979068,21.402026,24.740195
1.660854,513.009863,921.819957,-10.010194,6.094342,20.119892,12.085461,4.975714,21.103904,24.720614
1.676034,509.864444,915.025850,-23.975846,12.794081,20.155009,12.080973,4.982669,20.919809,24.726335
1.692186,507.190839,923.738662,1.942391,-6.644597,20.130545,12.081466,4.981781,20.640921,24.724560
1.723477,491.023389,934.967810,10.214838,13.706252,20.124380,12.079197,4.974580,21.261895,24.719578
1.738883,505.335043,928.110795,-14.099236,6.566155,20.110126,12.082896,4.970486,21.331960,24.709960
1.754381,517.350540,935.785619,-2.492647,27.168637,20.131976,12.081811,4.979561,20.808529,24.721600
1.769921,503.951058,906.501764,-1.863564,29.118795,20.159497,12.082354,4.972804,21.042081,24.715583
1.800857,504.926138,927.135716,-10.293281,14.178065,20.132863,12.081910,4.977835,21.360811,24.717901
1.816885,497.597313,907.759932,13.265893,31.068955,20.126797,12.081269,4.983063,21.465223,24.728358
1.833246,515.777831,923.801571,-16.741387,9.931751,20.106427,12.085116,4.976799,20.792043,24.731563
1.848463,502.378349,905.967042,-6.833323,8.516314,20.122161,12.086447,4.976947,21.197324,24.721748
1.880083,512.569504,908.011565,-19.666625,11.976272,20.145144,12.082847,4.978871,21.506438,24.733832
1.895785,498.383668,902.286902,-31.933751,20.783440,20.140311,12.081860,4.980597,21.676793,24.726927
1.911508,515.022930,915.623480,-17.307562,31.698038,20.148992,12.077718,4.979364,20.980258,24.729245
1.942173,513.544584,919.397983,-2.807188,16.505673,20.096119,12.084425,4.980104,21.127259,24.722488
1.957939,511.814604,896.153334,-23.724213,-4.505714,20.138782,12.081219,4.980350,21.623214,24.718690
1.973277,494.357532,914.616946,5.276533,29.936604,20.135329,12.084080,4.979364,21.127259,24.730380
1.989244,532.134006,912.478061,-6.361510,8.610676,20.132419,12.082748,4.976109,21.535288,24.729689
2.021366,498.446576,906.690489,5.591075,21.821428,20.114170,12.087088,4.984148,20.785174,24.727568
2.037005,496.622234,920.310155,-1.328843,19.776907,20.122506,12.080578,4.985726,21.182212,24.724905
2.053086,519.395062,915.025850,-8.500394,8.830855,20.125761,12.082403,4.977835,20.934922,24.716027
2.069071,514.928568,924.776651,-22.466046,13.202986,20.159842,12.081860,4.974580,21.278381,24.725102
2.100258,503.856695,896.593693,-19.320629,19.934177,20.140360,12.082995,4.980203,21.119016,24.719726
2.115715,509.927353,943.145900,11.095555,17.795294,20.128868,12.081318,4.971719,20.554369,24.724412
2.130849,510.399166,907.980111,7.006513,28.521167,20.114220,12.082502,4.977391,21.594363,24.713857
2.161982,490.362851,904.551604,-37.595502,8.547767,20.127931,12.086102,4.981534,21.595737,24.708234
2.177671,518.419982,899.676203,-22.717679,21.727066,20.145243,12.080282,4.979512,21.167100,24.720762
2.194027,513.513130,920.467426,2.508566,1.061675,20.144701,12.081121,4.973692,21.234418,24.729739
2.209163,524.993906,917.038919,3.609462,24.023220,20.130940,12.084820,4.975221,21.190455,24.710947
2.241142,516.344006,908.074474,-9.758560,12.039181,20.111803,12.080332,4.977934,21.164352,24.717112
2.256889,520.904863,931.067490,-3.719360,27.703358,20.112395,12.083389,4.974925,21.055819,24.717013
2.272068,510.430620,916.598561,-6.015514,11.504460,20.130792,12.085017,4.981386,21.033838,24.715682
2.303772,508.511915,926.569541,4.175637,1.061675,20.139127,12.084031,4.978575,21.305858,24.714399
2.319184,519.269245,925.248463,-11.740174,27.986445,20.130348,12.081910,4.977046,21.553148,24.725152
2.335193,516.092373,923.203941,-2.209559,24.180491,20.115502,12.081318,4.982422,20.743958,24.716273
2.350895,502.504166,910.276267,-5.323523,16.600035,20.144553,12.081565,4.978378,21.333334,24.718000
2.381837,499.138568,908.105928,-17.433378,26.665371,20.153825,12.079493,4.978378,20.948660,24.721354
2.397531,502.881616,903.765249,-17.181745,19.682544,20.141889,12.082107,4.981140,21.716635,24.716717
2.413116,519.457970,925.877547,-28.410884,0.495499,20.131926,12.083389,4.972903,21.560017,24.714597
2.429035,495.867333,914.208041,26.759732,29.905151,20.101692,12.084524,4.982471,21.014604,24.724313
2.460828,485.361636,909.584275,-14.036328,13.202985,20.140656,12.083340,4.982964,21.363559,24.736693
2.476149,520.999226,928.897150,-24.730746,-17.527741,20.149435,12.082551,4.974481,21.186334,24.713413
2.492208,507.379564,903.167619,-20.075529,33.176385,20.128375,12.082600,4.979759,20.978884,24.725250
2.523702,504.831775,901.374730,0.055141,2.791655,20.119842,12.078013,4.982422,21.204194,24.727618
2.539053,517.633628,906.407401,-21.428058,26.130649,20.123837,12.082304,4.978279,21.128633,24.715928
2.554950,493.508270,913.138599,1.439124,16.348403,20.140114,12.078507,4.980449,20.959651,24.734128
2.571017,489.670859,908.451924,-13.155611,6.786334,20.146969,12.080233,4.976010,21.182212,24.709418
2.601957,500.962911,919.492347,-17.590649,16.128223,20.128523,12.081219,4.974185,21.305858,24.717161
2.617281,510.178987,933.866913,6.943605,18.864736,20.119842,12.080726,4.969500,21.139623,24.719874
2.633183,520.149962,923.455575,-18.156825,22.733599,20.114713,12.080529,4.975418,21.241287,24.723869
2.648958,506.939205,927.481712,-0.919939,-7.399498,20.130101,12.080233,4.976109,20.959651,24.714597
2.680039,502.913070,907.728477,-19.729533,-1.517567,20.155699,12.081565,4.982915,21.531167,24.732945
2.696029,515.652014,915.151668,5.276533,18.550195,20.130151,12.081762,4.976503,20.899202,24.709812
2.712150,517.633628,919.523801,-12.306349,22.607783,20.124331,12.081318,4.979117,21.393783,24.725645
2.743238,511.311337,925.688822,-1.203026,21.129437,20.111063,12.083735,4.978723,21.573756,24.705225
2.759245,500.145102,906.564672,-7.399498,18.581648,20.137697,12.084129,4.980104,20.961025,24.725102
2.774426,524.427731,917.259099,-5.229160,22.765053,20.146082,12.083439,4.973742,21.053072,24.726385
2.789790,496.968229,900.777101,1.879483,22.702145,20.154318,12.081219,4.991300,21.007735,24.730380
2.821833,519.552333,917.007465,-25.045288,9.271213,20.143122,12.081318,4.983260,21.180838,24.716421
2.836748,505.240679,902.381264,-9.035115,13.989340,20.111655,12.081121,4.978476,21.505064,24.715435
2.852382,492.218648,919.712526,-26.806721,21.097982,20.125071,12.085165,4.970684,21.077801,24.707642
2.882936,480.989505,904.362878,2.697291,22.041607,20.149830,12.080430,4.983754,20.929426,24.740047
2.898695,503.636517,897.096960,-16.017941,20.091449,20.136365,12.080973,4.985332,21.588868,24.725941
2.914271,529.334584,922.008682,-23.441125,11.189918,20.124035,12.080923,4.973100,21.300362,24.708776
2.930022,508.606277,914.365312,-2.964460,24.054674,20.093554,12.084869,4.984049,21.319596,24.713117
2.960834,508.511914,892.347376,-15.923578,21.789973,20.147561,12.080134,4.980844,21.767467,24.714744
2.976321,494.860800,917.605095,-0.794122,43.304627,20.143172,12.082008,4.978575,20.862108,24.718690
2.992159,515.777831,917.825274,-29.606143,33.176384,20.151655,12.082206,4.981189,21.502316,24.736644
3.023883,507.253747,902.507081,0.055141,34.591822,20.131285,12.084179,4.981337,21.603980,24.703203
3.039197,512.758230,918.800354,-8.626211,16.411310,20.106821,12.081071,4.972706,20.590089,24.718394
3.054533,509.172452,911.094077,-5.071889,13.548981,20.146871,12.079937,4.982619,21.511933,24.721600
3.070210,513.135680,923.392667,-9.664198,19.022007,20.135527,12.083685,4.971769,21.105277,24.701033
3.100917,505.806855,931.098944,-6.990594,15.467685,20.141840,12.080677,4.974728,21.410269,24.709122
3.116088,506.530301,909.930272,5.213625,13.611889,20.118511,12.080480,4.980597,21.569634,24.719085
3.132043,516.941636,924.147567,-27.655984,-5.480793,20.109436,12.086053,4.977589,20.706865,24.707247
3.163107,489.010321,899.015665,0.338228,15.404777,20.149337,12.080085,4.984049,21.172595,24.722981
3.179111,502.661437,928.960058,-0.825576,23.897404,20.148893,12.080332,4.980745,21.371802,24.730133
3.194465,487.406158,919.806888,-15.231586,20.405991,20.147857,12.081318,4.984937,21.375923,24.733092
3.209876,495.961696,897.946223,14.240972,35.881443,20.132321,12.080825,4.981041,20.737089,24.732550
3.240968,500.742732,915.812205,-3.876631,36.541981,20.119596,12.081762,4.977391,21.470718,24.728210
3.256575,506.781934,922.889399,6.062887,1.753667,20.126895,12.083094,4.979956,21.116268,24.723968
3.272319,517.759444,933.174921,-17.433378,5.779801,20.149879,12.082255,4.975714,21.268764,24.713955
3.303849,501.308907,926.443723,0.212412,18.927645,20.140163,12.079345,4.975369,21.032464,24.720466
3.319946,521.030679,897.474410,-17.685012,25.375749,20.129263,12.080627,4.978032,21.044829,24.700145
3.335241,505.995580,923.549937,-1.706293,28.646983,20.117574,12.082156,4.974333,21.366306,24.705028
3.350927,500.648369,918.328541,13.769159,14.649877,20.134639,12.081762,4.979315,21.039333,24.731613
3.382927,507.977193,915.025850,0.275320,16.128223,20.138535,12.082354,4.978970,20.998118,24.718740
3.398102,525.497173,916.378380,4.018366,-5.606610,20.118560,12.086053,4.977539,21.312727,24.702956
3.413984,521.093588,921.285235,-1.580476,21.412524,20.137450,12.081269,4.983211,20.936296,24.717605
3.428935,504.391417,902.915986,-11.834536,39.687398,20.118116,12.082650,4.972755,20.701370,24.725793
3.459834,511.814604,910.024634,5.528167,14.398243,20.125071,12.081318,4.980498,21.727625,24.722242
3.475044,515.589106,917.101827,-14.539595,21.003620,20.142185,12.083636,4.986811,21.222053,24.730922
3.490433,526.535161,907.067940,1.313308,35.535447,20.146772,12.081318,4.973544,21.297614,24.727223
3.521576,513.638946,912.572424,-11.048182,26.602462,20.120829,12.080282,4.977539,20.793417,24.735411
3.537212,509.864445,926.475178,-18.534275,24.966845,20.115650,12.082798,4.977786,21.319596,24.718345
3.552756,500.994365,911.848977,-24.447658,-0.919939,20.132271,12.083833,4.979216,21.117642,24.718690
3.583846,503.038887,927.922071,-17.747920,20.217265,20.149781,12.083932,4.972509,20.940417,24.706113
3.600052,504.705959,922.669220,-0.794122,23.614315,20.133061,12.080184,4.976898,21.395157,24.730626
3.615328,504.989046,919.995613,13.486072,15.845135,20.127685,12.080282,4.986466,20.778304,24.729295
3.630807,514.897114,920.907785,-27.530168,19.525273,20.098930,12.083488,4.980794,21.091539,24.727470
3.661845,507.127931,907.728477,-14.004874,21.003619,20.143961,12.081121,4.980400,20.848370,24.727026
3.677568,507.348110,922.826491,-17.590649,6.597609,20.137056,12.086990,4.973742,21.338830,24.716964
3.692992,511.342791,924.965376,7.321054,23.991766,20.153332,12.079641,4.978772,21.239913,24.726039
3.708385,515.211656,922.511949,-26.429271,13.926430,20.123591,12.084228,4.978180,21.661681,24.708875
3.738872,508.134464,922.228861,-20.232800,-7.022047,20.112099,12.085017,4.974827,21.319596,24.704041
3.754293,495.930242,912.729694,-1.549022,18.141290,20.130052,12.081811,4.985283,20.859361,24.728160
3.769918,500.805640,924.273383,-14.885590,37.422697,20.150373,12.078309,4.977884,21.470718,24.726089
3.801034,490.583031,916.063838,-24.353296,19.179278,20.152444,12.080775,4.982767,21.165726,24.722143
3.816749,514.299484,901.280368,14.303880,18.330015,20.131828,12.083241,4.978427,20.695874,24.720367
3.832814,510.902433,902.821623,-3.436272,8.296135,20.105342,12.082699,4.977194,21.388288,24.703992
3.863779,495.867334,894.077357,-0.259401,17.512207,20.127339,12.085066,4.976997,20.728846,24.721798
3.879532,496.307692,899.204391,-29.763413,28.489713,20.147413,12.082896,4.976454,21.308605,24.726385
3.894953,524.647911,919.429438,-0.196493,9.522847,20.131729,12.084129,4.982619,21.380045,24.703302
3.911039,497.911855,910.748080,-3.373364,36.730705,20.142136,12.079345,4.979512,20.996744,24.744387
3.942007,506.687572,908.546287,-11.236907,2.225479,20.130792,12.082058,4.977786,21.002240,24.708086
3.957663,498.918389,912.572423,-6.015514,29.684971,20.141544,12.080134,4.980203,21.367680,24.726681
3.972883,517.979624,924.525017,-5.984060,12.856990,20.137154,12.081515,4.979167,21.053072,24.718246
3.988666,504.926138,911.534435,9.302667,5.402350,20.142678,12.080036,4.979512,21.088791,24.723179
4.020190,497.031138,926.412269,-9.884377,1.502033,20.136069,12.080923,4.973396,21.264642,24.716273
4.035921,495.426975,923.833025,-3.404818,21.066528,20.103911,12.083192,4.979660,21.097034,24.715928
4.051903,508.732094,926.034819,-13.470153,14.366789,20.112296,12.083981,4.982077,20.661528,24.720121
4.082465,515.840740,920.152884,5.842708,5.339443,20.144947,12.082699,4.969944,20.771435,24.720515
4.098472,515.022930,903.230528,-11.142544,17.795294,20.144454,12.077126,4.982274,21.777083,24.734819
4.114443,513.198588,926.758265,1.659303,13.234439,20.127734,12.082502,4.978674,21.400652,24.702808
4.130032,520.464504,898.355128,-13.281428,-6.487326,20.120188,12.079049,4.980992,20.972015,24.725497
4.160862,504.045421,920.373064,-1.328843,9.900297,20.125366,12.083685,4.988538,20.814024,24.724461
4.177104,503.636516,926.695357,-19.100449,-1.832109,20.138585,12.083044,4.976701,21.230297,24.717309
4.192194,508.574823,926.380815,-6.141331,12.794081,20.142284,12.084474,4.980449,21.165726,24.720170
4.223335,502.378349,915.308938,-2.398285,14.398244,20.131976,12.078507,4.978180,20.664276,24.715336
4.238954,517.319086,909.395550,-5.606610,35.126543,20.119053,12.081713,4.972065,20.638173,24.736940
4.254272,505.555222,895.052437,15.624956,19.399456,20.144257,12.079838,4.976503,21.197324,24.726631
4.270342,502.158170,919.335075,7.667050,12.888444,20.141445,12.081910,4.972903,21.048950,24.711144
4.301359,499.956377,926.066273,-2.492647,18.015474,20.138042,12.083241,4.975862,21.039333,24.722488
4.316938,475.579385,909.615729,-0.102130,28.489712,20.134047,12.082206,4.987403,20.882716,24.733339
4.332069,517.287632,911.314256,4.270000,-9.852923,20.111162,12.082995,4.975320,21.046202,24.725743
4.364357,510.336257,910.464993,-6.738960,17.071848,20.111458,12.082255,4.974975,20.995370,24.725349
4.379512,496.370600,917.699457,-19.320629,31.886763,20.148498,12.081515,4.980745,20.860735,24.737285
4.395360,513.638946,894.643533,-42.124903,20.217265,20.152543,12.082452,4.977194,20.952782,24.725595
4.410996,496.118967,907.382481,-11.771628,27.231546,20.132419,12.082452,4.981929,21.470718,24.727667
4.442025,518.136895,915.088759,-4.820256,10.749559,20.113283,12.080430,4.982422,21.010483,24.720663
4.457173,514.519664,918.045453,0.495499,14.083702,20.135625,12.083685,4.976701,20.271359,24.727420
4.473181,518.482891,908.263199,1.533487,5.685438,20.129460,12.082008,4.979660,21.245409,24.732945
4.488388,508.920819,915.057305,-1.391751,17.826748,20.144701,12.081959,4.976257,21.546279,24.734079
4.520021,519.961237,908.955191,-18.754453,14.492606,20.120138,12.086151,4.978575,20.669771,24.703499
4.535405,483.065481,912.352244,1.218945,37.737239,20.126205,12.079937,4.979808,21.206941,24.736890
4.550796,505.618130,919.649617,-2.618464,36.133076,20.148992,12.078655,4.981485,21.109399,24.726039
4.582201,506.530302,900.556921,-32.216839,14.429698,20.148498,12.082502,4.974333,21.017352,24.727766
4.598087,494.860799,916.189656,-35.613890,23.111049,20.135724,12.085757,4.977934,21.307231,24.726434
4.614123,501.403269,895.209708,-17.464833,9.019580,20.138733,12.080184,4.975270,21.340203,24.736249
4.628957,501.654903,906.407402,-13.187066,20.500352,20.128030,12.079296,4.978427,21.169848,24.726927
4.659994,493.225182,917.605095,-1.800655,12.573901,20.127586,12.082354,4.976651,20.800286,24.725595
4.675526,521.250859,917.982545,-15.923578,5.748346,20.149633,12.083192,4.975961,20.764566,24.727174
4.691273,488.664326,910.527900,-29.228693,18.455831,20.139472,12.083735,4.981140,21.171222,24.714744
4.722276,486.431079,930.092410,-2.461193,4.364363,20.146230,12.078655,4.981781,20.838753,24.718641
4.738277,515.117293,914.679854,-6.990594,22.827961,20.125218,12.081515,4.980696,20.923931,24.730577
4.753999,514.268030,916.913102,1.502032,15.624956,20.116834,12.082798,4.975764,20.715108,24.723820
4.769179,510.399165,929.809322,-5.480793,26.413737,20.145194,12.081910,4.978328,20.834632,24.721650
4.800957,503.667971,913.327324,-8.468939,37.045247,20.147906,12.081515,4.974185,20.878594,24.727914
4.816547,524.742273,903.607978,0.212412,-1.265934,20.147611,12.079740,4.980942,21.588868,24.735411
4.832319,516.784365,931.979662,-5.417885,-1.926472,20.122604,12.083241,4.979956,21.235792,24.723228
4.863315,502.881616,908.546287,-0.385218,31.981125,20.134146,12.080480,4.979068,20.807155,24.728160
4.879209,495.678608,916.441289,3.200558,2.225479,20.125564,12.081466,4.981781,20.787921,24.720614
4.895178,504.989046,918.580175,-12.935432,7.321055,20.136365,12.083735,4.978279,21.573756,24.719479
4.910936,509.078090,915.686389,6.691971,24.872482,20.125021,12.082847,4.976651,20.965146,24.727371
4.941696,507.725561,900.179471,7.195237,24.023220,20.128720,12.078704,4.983754,20.923931,24.721255
4.957006,524.553548,923.833025,-1.391751,11.158463,20.134146,12.081071,4.976257,21.167100,24.721156
4.973414,517.193269,923.990296,2.886016,28.521166,20.142382,12.082502,4.977589,21.241287,24.734079
4.988834,528.516775,924.304838,-1.171572,4.175637,20.148400,12.083094,4.973544,21.334708,24.720269
5.019364,491.243568,911.219893,14.870056,24.809574,20.150471,12.079444,4.982964,20.426602,24.734523
5.034806,496.716596,909.835908,8.673584,15.278961,20.128967,12.080085,4.979759,20.993997,24.731070
5.050798,503.856695,924.808105,0.055141,15.090235,20.122407,12.086497,4.976158,21.367680,24.717161
5.082746,500.396736,915.780751,-7.147865,6.723426,20.146082,12.080529,4.979561,20.928053,24.717063
5.098449,516.155281,928.802788,-2.083743,25.910471,20.132271,12.079888,4.976257,21.135502,24.729739
5.114258,505.146317,922.165953,-4.379897,-7.022047,20.130397,12.084129,4.978230,21.003614,24.724116
5.129885,501.214544,896.467876,-8.689119,26.036287,20.133751,12.079740,4.985628,20.734342,24.725349
5.161474,519.898329,910.118996,-13.061249,7.824322,20.109189,12.085757,4.972903,21.176717,24.722685
5.177260,521.596855,905.306505,-14.822682,0.180958,20.152050,12.080578,4.980252,21.239913,24.704337
5.193218,515.966556,933.646734,-0.951393,1.281853,20.137943,12.084869,4.977786,21.084670,24.726187
5.208853,487.563429,922.920853,3.640916,26.633916,20.131828,12.081318,4.977589,20.956903,24.719578
5.239879,511.059703,912.289336,3.924004,35.126543,20.114121,12.080874,4.980646,21.062688,24.721255
